hash_inn,y
178864,12
129766,12
93373,12
203242,12
24671,12
111618,12
12640,12
198027,34
182475,7
213077,12
23592,14
163024,12
153237,55
139968,52
13699,14
79275,12
68174,12
55476,14
134526,34
234349,34
208233,12
70649,14
169520,12
230267,26
2449,12
10583,14
68306,14
75114,12
170377,14
61597,34
114685,6
160476,12
186212,12
110558,12
181826,12
103403,34
243409,26
33620,12
135181,14
252436,12
13704,12
66457,34
60518,34
178136,12
34274,4
214497,12
129739,14
45259,4
133062,12
28091,4
256860,4
42316,12
201871,12
52882,12
227484,12
220011,12
136161,12
31813,12
62147,12
253132,34
159271,12
92132,14
153971,12
36532,12
185943,12
121800,12
18816,12
208142,34
217533,52
7877,12
230133,12
243376,12
92200,12
4239,34
184628,39
191174,12
69677,12
19189,12
226109,26
257363,8
238750,12
73024,12
187203,12
104079,12
159129,52
250741,12
95983,12
141501,12
142761,12
246453,12
207538,12
52275,12
211121,14
231104,12
245600,12
4881,12
65744,14
32966,12
149489,12
245338,4
119264,12
35369,12
129547,52
103758,18
64918,34
72836,12
1491,14
116718,34
190568,12
21283,12
86270,14
251426,12
46440,42
198827,12
178583,34
205719,12
102225,14
92742,12
160952,12
198726,12
149455,12
119749,16
228486,12
233420,8
118390,12
108244,12
126163,9
68053,34
10362,14
199865,12
255277,12
35669,12
195540,14
10805,12
86745,12
132317,12
13766,12
80384,12
115627,12
220848,34
28597,12
169123,12
152355,12
120899,4
196385,12
182538,12
221866,47
148055,11
132687,12
233218,12
249868,6
109124,12
12426,12
178504,12
106616,12
146575,12
191238,12
201902,14
86533,12
126797,12
85019,12
255408,12
238097,20
60013,12
79746,12
149309,12
4450,8
101681,12
133234,18
11970,12
14482,4
37745,8
208752,8
3725,12
117893,12
140374,12
14353,12
113704,12
118,12
246477,12
113960,12
121341,12
74662,12
245341,12
230505,12
181420,53
10367,12
212503,12
15638,12
176216,12
17831,12
255850,4
130520,12
20331,12
140789,34
134267,8
8576,8
98526,12
158497,12
250321,12
55864,26
147163,8
175702,12
235734,8
167755,12
64757,12
79768,12
203976,12
123637,11
172987,20
8152,4
255452,12
20513,4
116002,12
143964,12
167073,12
106733,12
230287,12
109714,12
81935,12
117561,12
144586,4
208931,12
238896,11
156144,12
208630,34
1245,12
96121,34
164726,12
203961,12
253681,12
131553,12
80837,12
254100,11
239425,7
95398,12
9030,12
167234,34
53857,12
185925,12
10606,12
140535,12
254595,12
104779,20
83492,12
11959,12
189361,12
188960,4
180908,4
53413,8
153287,12
50883,12
165347,12
164014,12
207465,12
149664,12
206778,14
247927,12
21485,12
254754,4
31276,12
209762,12
40989,4
238752,12
133562,4
118614,12
230550,8
206319,12
148476,67
100970,6
237434,12
236081,76
124789,12
76487,12
213537,12
137475,12
195390,18
179715,4
252536,12
199935,12
46739,8
215238,12
194151,12
158339,12
221433,12
206911,12
253630,12
170831,12
4852,76
74548,12
175926,12
172185,12
108005,12
228865,12
220458,12
79633,12
92155,12
61678,4
162376,12
162684,12
44832,12
260235,12
49322,12
259979,12
52505,12
147119,12
21338,12
78226,12
87341,4
181958,12
150290,12
123817,12
34727,12
30212,4
194625,12
235442,12
130238,53
176082,34
75659,4
218138,12
85436,12
51804,12
38752,14
202703,12
138309,34
220966,12
71741,12
131392,12
51353,12
69774,34
24406,14
245026,52
131727,4
138736,12
119065,12
206712,12
77730,12
223843,55
31018,12
36211,12
62216,12
1995,12
164592,12
162807,12
76575,9
49362,12
27591,55
147279,12
231320,62
180303,47
20715,61
232055,12
222320,12
145353,12
140060,12
248448,39
113424,12
198703,39
73052,4
87314,4
167518,4
68170,52
105653,8
231805,12
40099,14
37196,12
12348,12
191112,34
135981,29
224441,14
44313,52
32934,12
81047,12
47565,12
131483,12
70025,12
60280,11
183737,12
65473,12
136747,12
125358,12
188476,12
165493,12
18010,12
129851,14
33820,12
257454,12
241475,12
240028,12
24549,12
79129,12
89272,12
11805,12
250976,12
150,31
113029,12
209997,12
360,12
200104,12
34055,14
227251,12
27036,14
196671,54
197187,12
246394,18
223841,12
210562,11
52912,46
69401,12
174214,11
169254,6
69930,12
243578,12
155986,12
108605,12
153098,12
36952,12
140206,12
32699,12
184230,12
34278,4
188122,12
231089,14
67746,12
163335,12
188260,12
209092,4
72777,12
11639,12
75112,12
188368,12
167992,12
130937,12
172845,34
118564,12
21872,12
246093,12
85089,12
59053,12
195601,6
9379,4
57897,34
44811,18
110827,12
216659,34
61302,14
140623,34
143742,6
76010,12
234756,34
136051,14
220129,12
245932,12
133005,34
140213,12
136099,4
185293,8
214550,12
36338,8
94237,12
19470,12
98342,12
7390,12
120495,12
121423,12
133138,12
165524,12
260195,12
14414,12
94908,52
223924,12
170943,14
127615,12
173221,14
148212,12
167950,12
197112,14
57936,12
172732,12
182840,12
167661,12
198416,12
183688,34
155443,12
79949,12
72936,4
2128,12
158107,12
78363,12
78305,12
140278,12
177795,12
96618,12
8040,12
239109,12
216754,12
157642,12
77723,12
78194,4
185843,12
131100,14
26600,4
175322,12
173617,14
213574,23
224121,14
58088,12
132315,4
152582,12
30770,12
247735,12
203048,12
46194,14
103961,12
183767,26
58338,12
237859,12
137400,14
231829,8
63164,12
182339,14
33014,34
190776,7
5236,34
229442,4
25452,14
72068,12
187349,62
998,12
223821,14
176233,12
81541,4
228537,12
77913,12
101565,12
116544,12
185736,12
194678,8
66554,12
220291,12
205812,55
80743,12
200992,12
137750,34
6784,12
224542,8
96321,12
98752,12
175422,12
90924,12
142418,12
223126,12
90904,12
211584,8
141213,12
183421,12
125527,12
258708,4
156348,12
72306,34
253587,12
66530,12
257430,12
252052,12
17467,12
48557,12
128964,14
79360,4
177125,12
157126,12
129285,12
64292,12
145372,47
210556,8
45453,12
252645,12
30083,12
218053,12
35515,6
88976,12
159196,34
87721,12
170846,12
177399,12
87138,12
234876,12
52319,12
55218,12
174952,14
192823,12
209775,12
37134,12
112253,59
7828,6
88513,11
217893,76
27700,12
194745,12
171812,12
249339,4
57611,12
253749,34
254151,12
78279,12
187553,14
18057,12
105013,12
166903,12
259891,4
185668,12
123211,4
183675,34
239837,77
110679,12
109683,12
126020,12
27407,12
136262,67
150515,4
110965,12
56843,12
255083,12
149542,12
126343,14
252393,12
130846,46
14461,79
158622,12
5176,12
119662,12
259802,12
217689,12
157437,46
137340,12
113415,20
129629,12
52462,12
252509,12
191330,12
63657,12
10288,12
235128,12
54171,8
222533,8
252455,12
148172,12
149996,12
70664,12
219484,12
142731,12
260515,12
41567,12
189723,12
121323,12
62452,6
164583,12
216896,12
111537,12
148397,12
241334,12
170196,12
199642,12
215286,12
37758,12
53660,12
23339,29
210261,12
171435,12
234037,12
259490,12
56579,12
242597,12
156760,12
207275,12
43077,12
126327,12
35082,12
152724,41
115303,12
42472,12
155398,12
191263,12
6334,12
53593,12
133736,12
86367,12
175463,12
220670,12
126365,12
201733,12
180492,12
101196,12
187042,12
235123,11
18541,12
143393,12
161688,12
64230,34
42806,34
237286,12
67988,14
13953,12
408,6
170925,14
154059,12
106182,18
64050,11
155075,12
185788,26
46870,12
164045,12
55228,46
116130,12
195324,34
11739,12
181403,12
125875,38
98944,12
134318,12
63828,34
67505,12
252397,12
222983,12
113141,12
18995,26
122391,12
220070,12
156924,12
50368,4
245835,14
182103,14
10124,14
158289,11
224635,14
163613,4
128887,12
69475,4
190174,12
16029,14
53118,12
133678,4
30872,12
89523,12
12165,9
172068,52
199409,12
84202,14
153723,14
38877,12
57725,34
91426,12
162155,14
234748,52
77142,52
184595,8
183789,46
45041,12
86333,12
168884,12
62321,12
249493,12
66249,61
169831,12
150480,12
125844,12
65275,12
183451,12
117714,12
191387,39
188445,16
134909,12
230676,12
182371,12
18104,12
197286,12
92247,14
173489,52
90017,12
193931,12
239706,34
119533,14
48417,26
138679,12
68527,12
33106,12
32690,12
229637,12
111146,14
149901,12
197044,12
72494,34
137652,12
150759,4
26626,34
167426,12
4828,12
65994,12
128398,12
129001,12
77189,12
250675,14
54386,14
254086,12
147779,12
73963,52
222596,12
6965,12
232571,12
14067,47
199765,14
205807,12
68683,14
68574,14
60292,12
189975,12
97878,12
208259,4
203556,12
42546,12
218259,12
48587,12
236818,12
217849,12
233770,34
75639,12
120551,12
12040,12
12353,12
165544,12
120615,12
218526,12
163656,14
143819,12
191617,18
120054,14
146722,6
75460,26
117278,12
85279,12
215818,12
78691,12
181715,12
245851,12
170743,12
12659,12
175508,12
53559,12
175561,12
62271,12
227122,14
254680,12
86896,12
5312,12
48772,34
101162,34
238631,12
242941,14
111733,12
57100,34
12434,12
245742,12
144016,12
60708,12
140275,12
89881,12
2780,12
242093,12
186670,12
69133,12
50225,67
98638,12
24675,12
146770,4
102779,12
259523,12
152777,12
52389,14
150045,26
2564,12
134252,26
197873,12
233830,12
33576,12
27976,12
149818,12
100031,12
72331,14
180002,14
198746,14
98518,12
141025,12
21457,12
187265,34
33470,14
32914,14
98781,14
221751,12
251110,34
42536,12
29914,12
101702,14
114740,52
75586,12
213889,4
103208,12
94760,12
171192,12
145829,12
37756,12
87884,12
152518,12
153743,12
113130,18
149904,14
190018,67
80461,12
198660,11
91320,12
229641,12
15913,34
112874,14
152376,12
225754,12
27555,12
101248,14
256962,12
141707,14
179930,14
33741,4
13768,34
206071,12
90651,14
203062,8
19559,14
92713,12
122645,12
206544,12
203569,14
154714,12
50941,12
199936,12
109708,12
120083,4
87008,12
194516,12
240091,12
190076,12
131088,8
200228,12
50212,12
6277,34
112533,12
118003,12
132027,12
173746,14
149877,55
249145,12
114874,12
53220,12
209787,12
195085,12
95750,12
63371,12
116077,12
39709,12
132190,12
98990,12
193789,12
84296,34
234326,12
119293,12
126589,12
195718,12
108249,12
99437,12
15981,12
226786,12
44903,12
169475,12
74887,12
230240,4
80088,12
20379,34
254140,12
137437,12
229441,12
170388,12
59618,12
14100,12
14188,12
85307,12
121607,12
135635,12
165236,12
138530,12
89716,12
98126,12
97630,12
212449,12
51811,4
216492,12
89650,12
21500,12
15079,34
198886,67
119013,12
26097,52
30987,34
102131,12
242207,4
33454,12
187709,12
190523,12
143357,12
45205,12
123548,12
232580,12
69918,12
191688,12
87220,55
233094,12
29019,12
18338,12
27223,4
174268,12
170928,12
115837,12
76665,12
765,12
182958,12
92856,12
235907,12
182128,12
40048,12
142355,12
222658,12
105935,12
246431,12
82511,12
9799,12
138983,12
149623,12
179921,12
91322,12
33321,12
22338,12
203896,59
257906,12
247592,12
69588,12
120408,12
206064,12
14085,12
105024,8
125141,12
51374,12
42931,4
100487,12
171357,12
177821,12
50623,12
213657,12
99949,7
52108,12
190642,12
213804,12
153997,12
110344,12
118359,12
120071,12
12586,12
55680,12
156661,12
245267,12
148510,4
54064,34
31391,12
186275,12
16462,50
193746,12
31219,12
82920,12
181092,12
2316,12
168994,12
165738,12
49817,12
187991,12
225503,12
50787,12
150822,12
209498,12
137139,12
45648,42
192324,12
132532,12
181473,34
177353,12
4838,52
34877,8
87484,12
20356,34
121145,12
176303,8
53158,12
184509,11
211338,34
98071,12
13947,26
32953,14
89602,14
193354,14
15789,12
123702,12
254518,12
81875,8
71287,12
93588,12
226997,53
126137,12
133386,12
123621,3
173205,12
228953,12
256767,14
162627,12
258508,9
18528,14
204475,12
108355,12
60600,12
231849,3
21561,4
158677,34
229829,12
120032,12
220338,4
31600,12
225339,4
46094,12
209020,14
141883,14
113400,16
135064,12
103951,12
205438,12
35647,14
240651,14
2425,12
13646,12
214451,12
142551,46
177628,12
242467,12
109856,12
6472,14
156417,12
74487,12
91032,12
217514,14
114457,12
106348,52
69668,22
9093,12
130452,12
167553,54
191200,12
58370,9
241290,12
247570,14
177788,14
15902,18
60734,12
45709,12
143882,12
108021,34
855,12
14817,12
256884,12
88125,12
246771,34
148608,12
219197,12
208027,12
88962,14
22473,12
245005,14
18469,6
136209,6
185652,12
139182,12
108200,12
59486,34
7597,12
65868,12
59041,52
218256,12
36605,14
188788,8
187198,12
84641,34
13160,12
72593,12
167592,26
218568,34
100955,12
130906,12
48226,12
253931,12
166720,12
4774,12
126337,12
255564,12
21443,12
193466,12
228968,12
86139,12
73338,34
1946,12
99421,12
12079,14
54509,14
24370,12
81784,14
50581,14
218544,12
125664,11
55669,12
53698,12
88790,12
249071,14
229980,12
31383,12
178174,61
198319,67
251046,12
30878,12
251570,12
125578,34
171126,12
152874,12
129140,12
154222,12
104751,12
151289,12
293,12
77438,12
82671,12
14292,12
173936,26
42567,12
132736,12
101026,12
13881,12
72428,12
109903,12
215162,12
188790,12
2623,12
173087,12
101128,12
188332,34
42796,34
47708,12
186443,8
100750,42
79357,4
132577,12
160594,12
14864,12
77035,12
214806,12
84678,14
178753,12
208368,12
123983,12
99795,11
245313,26
187629,12
237504,12
75196,12
155180,14
165075,34
221976,14
12935,6
239181,34
101978,12
209398,12
5971,12
38447,34
205631,12
82731,32
161589,34
242576,12
51538,12
5652,12
188171,14
212243,12
25385,11
128212,12
206152,55
151144,12
195542,24
153795,12
65267,12
86401,12
249678,12
86490,14
12845,14
221065,12
137853,76
4475,34
136340,14
117631,12
88755,12
61778,14
209254,14
108898,12
30450,14
84173,12
219817,12
150698,14
29127,12
159258,12
17163,12
213398,67
227255,12
179947,12
27342,12
188273,8
168035,12
84591,8
215447,12
173328,12
61885,8
77401,12
107886,61
97721,34
186768,12
102834,12
246899,8
193795,12
213711,4
244711,12
212446,12
166143,12
129348,6
45481,12
171455,12
16945,8
234627,12
117342,12
44600,12
148083,26
186750,12
123451,12
18479,12
6877,12
32710,12
13676,12
200344,12
193688,12
202193,12
58476,12
20139,12
199793,12
193624,12
210356,34
107047,34
256683,19
46176,12
214492,12
165772,12
14480,14
146657,12
7507,12
108408,14
143086,12
213441,12
71553,12
108124,12
217684,12
87322,8
229876,12
239786,12
132614,12
118861,12
129863,4
231540,12
221254,14
132813,12
94414,12
225539,4
160579,12
57385,12
59713,12
99123,12
46148,12
62151,12
46848,12
157907,4
196633,12
35652,4
19537,11
240905,4
128595,4
233514,12
91843,34
154045,12
95406,12
135324,34
23383,4
64895,12
246525,12
29215,12
56034,12
103202,12
205795,12
87326,12
243748,12
105593,11
230813,12
134897,12
254487,8
206131,16
179128,12
55071,12
7167,12
111683,4
130719,12
192170,11
174015,12
73432,12
97824,12
68666,12
96439,12
56324,12
76891,12
32247,12
104194,17
203192,12
183518,12
67719,12
46680,12
140031,12
159264,12
19370,12
110334,12
33313,12
235805,12
120384,12
4057,12
209513,12
226174,12
25532,12
194259,12
169039,12
161183,12
108546,12
154687,4
149338,12
234603,12
138777,12
27628,12
220870,12
59436,12
150764,12
12573,12
103308,12
207789,12
174458,12
16766,12
18422,12
16352,12
72646,12
126196,12
18412,12
68806,12
199444,12
80913,12
189726,12
183876,8
92556,12
89262,67
86994,12
192548,52
21675,12
190216,6
164301,12
190748,12
183779,12
87470,34
62228,4
98851,12
105981,52
167723,12
36146,12
49771,4
223412,12
191638,12
78203,4
133809,12
226629,34
206608,12
217474,12
180440,12
112094,34
35614,12
155319,12
163054,34
149040,11
19447,12
15355,12
167097,12
60956,6
63586,26
231421,12
212699,12
93453,14
211297,26
42905,4
92014,12
177665,26
208462,14
61753,14
20750,12
58571,12
199216,12
47694,12
210318,4
37098,26
210597,11
243005,11
181460,44
101802,14
180278,14
132586,12
174481,12
72758,12
4041,4
166485,48
162457,12
118074,12
178097,12
70644,14
125270,14
91960,12
90012,6
154783,52
241198,14
126224,12
226118,12
121776,14
23185,12
153754,34
160372,8
87963,12
231080,4
253485,12
248815,12
10082,12
196412,14
89344,12
108318,14
41020,14
164978,52
166440,12
148181,74
89934,34
1588,12
231384,12
237332,12
81653,12
70847,12
241154,12
108134,34
117641,4
64031,12
119883,14
91125,18
209121,11
36097,12
245831,12
253215,12
111551,4
81145,12
227938,12
10696,12
209879,12
212171,12
20244,12
159160,12
142197,12
154592,12
190213,12
82383,8
158386,12
56772,8
136880,12
172103,4
230148,12
182935,12
28975,8
190511,12
56169,12
2774,34
253425,12
233258,12
88900,12
242575,12
32233,8
221915,12
161612,14
209402,26
182029,12
123393,12
94702,34
243250,12
71269,34
98232,12
189167,18
241129,12
43427,52
75598,14
133129,14
226941,14
142913,12
169308,12
15587,14
81686,12
260148,12
183994,14
18209,12
216838,11
177494,34
190680,12
259987,12
113747,12
90109,12
137506,12
107949,12
226612,12
142203,12
105768,12
231163,12
211119,4
69427,8
240926,12
156665,12
48705,12
135479,12
108885,12
198734,12
110638,12
104706,26
199127,12
92309,26
96369,18
179994,12
175179,12
218852,14
110587,22
22679,12
259543,12
7520,12
146427,12
214040,12
187754,12
145140,12
23654,12
199578,12
252729,12
15089,6
130074,34
16347,4
14909,4
208920,12
6242,12
105525,12
120798,4
236035,12
174749,12
2480,12
22897,12
99551,12
188889,12
98451,12
59382,12
197066,12
114224,12
134550,4
252888,12
244900,14
22032,12
56608,34
41088,12
174381,26
175261,12
87664,12
195894,12
216607,34
52959,12
119161,18
56540,12
177060,34
31841,12
250892,31
205835,12
218717,34
74935,14
196973,52
244456,14
223352,47
231488,34
143295,12
240821,14
7460,12
221246,14
225216,12
32253,12
234927,12
74482,12
80825,4
139096,12
206110,4
25210,11
52089,12
186932,12
50736,12
51201,14
259223,4
144073,4
80509,4
226876,12
214174,12
245871,6
24640,14
207689,12
220558,12
103353,12
163715,12
141391,12
115531,12
173827,18
36506,12
118765,12
41966,12
204379,12
122559,14
91162,53
53443,12
143522,12
8405,12
83911,12
120595,12
153376,12
31878,34
30304,12
116129,12
222961,12
163824,12
150790,12
164922,12
23212,12
80438,12
15176,12
255495,12
137859,12
153635,12
135869,34
173783,12
32568,12
79489,12
192686,12
134632,12
212758,12
93978,26
210984,12
100375,62
77786,12
132545,12
250984,12
69383,12
112855,12
247203,12
173026,46
253894,12
238944,12
48381,26
219566,12
146929,12
84086,12
21359,12
59307,34
192561,12
177361,12
13813,12
257498,12
15435,12
31525,12
85832,12
53068,4
122186,12
102386,12
180671,12
8237,12
180001,12
130993,12
44459,12
243319,12
128169,12
251770,12
181995,6
8794,4
49770,8
111028,12
223244,12
211188,8
47621,12
45341,12
185984,12
114160,12
121336,12
72904,12
12414,4
3272,12
185031,12
145774,12
46114,12
40450,12
171113,12
68115,11
112332,76
254259,12
67929,12
82024,12
112905,8
155129,12
92019,12
229135,18
146388,12
198068,12
224308,12
210436,12
126525,12
69984,12
159448,12
106541,12
103975,12
144693,12
201354,12
242121,12
203124,12
151689,12
67418,4
39453,6
7929,12
199431,12
46587,12
26944,12
4833,12
175007,12
144134,12
99108,34
154882,12
180011,12
75770,12
178951,12
121417,12
32465,12
220616,24
138430,12
67270,4
21786,12
246540,12
68657,12
248179,4
20044,12
68070,8
99167,12
75449,12
220976,71
30291,34
34931,8
71354,12
61447,12
233706,12
145501,12
96291,12
56819,12
221198,12
197708,12
186940,12
196101,12
154515,12
30472,12
41952,11
50665,9
2797,12
187517,14
91067,12
142540,12
14985,12
247575,12
106485,12
63715,12
16179,12
175852,12
122928,12
34838,12
127847,12
175151,12
141473,12
225522,12
220382,12
78318,12
189608,12
106722,12
8742,34
250611,14
40322,12
36823,12
522,12
46219,14
202154,12
254993,12
158637,12
211708,12
137014,12
12417,12
91574,12
240918,11
192201,12
139667,12
193188,12
41810,12
108889,12
168066,24
36156,12
49865,34
42522,12
164818,12
92926,34
213568,14
7488,12
202034,52
51217,12
10251,12
57434,6
52286,12
117046,12
14866,52
256077,12
125049,4
155582,12
233854,12
151227,14
29871,12
127462,12
170709,12
90692,12
198002,12
233675,12
12225,12
79248,14
165016,14
239199,11
79104,12
205800,4
120183,12
101430,12
244815,12
102521,11
15581,12
215921,12
244531,12
150599,12
36949,12
141422,12
194649,12
209463,12
119117,12
97042,20
127953,14
239589,34
102718,14
222498,14
129702,12
214564,12
132918,12
208349,12
96643,12
134278,38
75801,12
130390,12
147124,12
181477,12
37612,12
124524,34
123094,12
199092,12
239587,12
164650,12
31689,12
242812,12
230579,4
24941,12
33183,12
225791,12
160931,12
29025,12
165309,12
9109,12
188490,34
154129,12
33644,14
109042,14
156723,12
187103,14
62023,14
83052,12
161906,14
253533,14
137112,26
68732,12
6071,12
138861,12
196720,34
186586,14
109914,12
39117,12
239366,14
197305,12
82698,12
240908,12
114123,12
69783,12
32892,34
99648,12
227895,34
186056,12
214782,12
248470,12
213654,12
94992,12
3329,14
52317,12
4677,12
17366,12
170413,12
15748,12
64204,4
236469,12
110078,26
74552,12
175054,12
184766,26
35116,12
225946,12
201758,34
115216,12
239956,12
156411,12
190851,12
12441,12
162584,14
30012,12
163983,12
181722,12
169752,34
143099,12
240535,12
88132,12
23174,12
204776,11
17225,4
44685,12
127954,12
174760,12
116213,12
23978,12
55557,12
198779,12
158625,12
151980,12
133924,12
53241,6
116538,14
182613,12
701,12
149363,12
111814,4
220552,14
104896,14
210969,14
137339,12
222013,4
125333,4
79444,4
135706,12
197232,12
177871,12
58754,4
167734,12
127948,12
140923,12
27060,34
130562,12
106047,74
173185,62
96442,12
228407,14
253128,4
108829,34
232699,23
22183,18
250241,76
53402,11
151727,77
165551,14
76104,12
230914,12
72054,34
252811,12
94081,12
126704,14
210873,62
166044,12
209078,12
35791,12
143310,12
148350,12
116484,12
96696,12
189375,12
70965,12
59125,12
70335,12
14013,12
155481,12
78778,12
143821,12
110925,11
176426,12
98521,55
241008,12
156514,34
16299,12
102086,12
150850,12
254141,12
3974,12
93741,12
246240,12
201497,12
12202,29
135653,12
110886,12
26826,34
3521,12
123738,12
147774,12
23303,12
12731,11
36702,12
14253,12
191380,12
47312,12
246355,11
50876,4
141818,12
242906,12
116357,12
234196,12
214366,12
144045,12
143422,11
16562,12
123114,12
167555,12
82641,12
52635,8
235899,12
216602,12
14319,12
198761,12
87511,12
7683,12
119673,12
181898,8
94383,12
184082,12
37339,12
128934,12
152060,12
88960,12
145404,4
144029,12
152232,12
41687,12
82150,4
118770,12
13828,4
255304,10
210872,11
218173,7
25072,4
128573,12
83643,4
81241,12
255563,4
27539,12
144530,12
102871,12
106318,12
248888,4
81714,12
162962,12
120564,12
27457,12
57701,12
185005,12
11381,4
223840,12
30219,12
236501,12
148984,12
27603,18
233541,12
259773,12
67965,12
94398,12
126520,4
239696,12
144387,12
114125,12
187683,12
137558,12
170270,12
178434,12
75092,12
28339,12
212132,53
162394,4
143303,12
8720,12
164786,12
253412,12
92387,4
76260,12
32878,12
253757,12
154533,12
229414,12
50086,12
140308,12
161391,12
129050,12
41886,12
36613,12
36484,8
153893,76
129553,12
99525,12
135151,12
11689,12
25053,12
203003,12
1340,12
126283,12
104160,12
125669,12
217974,12
147096,12
63367,12
258978,12
180491,12
117921,8
47608,12
121270,12
248123,12
143554,12
56061,12
200705,12
128883,12
112808,12
74117,12
178121,12
35188,34
238093,12
232696,12
179568,12
106337,26
223318,12
212770,12
184041,12
2169,12
196213,12
251649,12
139642,12
223079,34
52774,12
11051,34
229975,12
68500,18
83981,14
115576,12
